source_name,author,title,description,url,published_at,fetched_at,country,category,domain,language,social_image,source_system
Google News,WSJ,"Microsoft Reports Strong Cloud Growth, but Questions About AI Returns Persist - WSJ",,https://news.google.com/rss/articles/CBMilgFBVV95cUxNdmRJQkJzYzc5SHI0bFlpWDQ4V3g0X0tmOWFWSlJuZFZ1a0d1bzZuMFIxN0lON2twMVhfRlZfR1ExQjJuWGdqVWVyWjBYX01XU3hzSVkydDZURE0xTkZzc0dFU285VHlFTmVweUF5VWNBOFotMlFSd3BibDRrVlB3MWFmbVZDMm4ycFdGM05Ob3k4a2NZeFE?oc=5,2026-04-29 23:05:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,AOL.com,LeAnn Rimes cancels upcoming shows citing 'severe illness' months after $10K blood-cleaning treatment - AOL.com,,https://news.google.com/rss/articles/CBMihAFBVV95cUxPY1pzcXZWYUVHRUVHMVhfU3VoOW0wakYwT0F6ZU5xT0EtWHUySWpUMmpmNW9OcjFPazlBU1oxd1hVdWRIb1BPaC1QQTg1WHo4M0lBRWcyNHlfWTdoRDc1VnE5VDlHSThBaktxeDVWMkRZWUpvWHlUcUdwbDFvcTExSjU5M1Y?oc=5,2026-04-29 22:51:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,The Guardian,Timmy the whale rescue attempt begins off coast of Germany – in pictures - The Guardian,,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQSTMzaTJUNF8ta0hqZzhGczUzY2pDTENId2xUdVVNWHRNcVBsaFp0TFJGUXpucWw4NXhOR2dPZ0RsbW1KMDFoNVdFUzJPZ0szWVBnRTdVXzRKS2htdnhYY2M4MGxrNEFEb3I2R0ZDYmdBeTdtd2lTX3dwVnJyRktJYnN1UUhsY0JwOWJmVXJZVWdtZGx5UHp4TlJOMmNWRXZtTmcxemdwMmdvNkhXRGw4U3RlVExpbHdo?oc=5,2026-04-29 22:47:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,MassLive,Alex Cora in email to entire Red Sox organization: ‘Disappointed we didn’t finish the job’ - MassLive,,https://news.google.com/rss/articles/CBMiywFBVV95cUxQZWpBMHJ5UUdkU3dJNmE2NEp5X29PbmcxWGUzUFNPdzJQMXFMSnJmNkFDNm1wUG93RndiZ1AtaGFkOVhUX1o4ZlN1VmJIOWh4YXdiV05VRkpnQWpYVkxpM2NSVHNkUEJoS0R5MkdiZndBUThGa2d1dFFZMkI4V0FNMmRaa29IYnotcDVObV9jd2ZLcjZCVml0OFRzYzVqVWlkT0tVbHF0enVHZDhScWRHbHU2WkJHM09qQ2RnMVV4R3dDbS1IUW9HRXlaZ9IB3wFBVV95cUxNM0sxMWtjTkRpX3hzQ2l2cDdyNU5zdXBLTG85SU1jZG80VklvVzdVLWRkSUhRbktEdE9KRkdWUjNtZWY5S3llSVRxbnU0dlRENG1NTDB1NkROalFJYmhTbU5OanZYQnUxSUJBYjh1cmZtd19QdHQ1bGs1OXBzNDlfeUtYWFRsVF9HcHY2ZEdOaF9pYlVjRUZ2UjhabjFxTDZaRGhKWnQ1a0NTZm1EWElQbldOU1ZfOVc4V1lwd0RKckVTUXhFUU04SjkxVWI2R1pJOUprSVhtZExiMk02cVE0?oc=5,2026-04-29 22:47:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Business Insider,Microsoft Expects Headcount to Decrease in Coming Quarters - Business Insider,,https://news.google.com/rss/articles/CBMimgFBVV95cUxNeVYtZEx2a05VZWt0WmgzVG5fT0c2OFNxRUhFeHZZb251SE1CdFFCanROWXl0b3F4S29weWdBRmNldmQyeTBmNkRVUjdKNEdTWUZlbHBicGtncjJtQmRlNno4RTNVaTd5czBUN2NTRTVVLUhaQnJEa2ltaURqMjhSeTV3ZzVIdjQzMFN4bV9xSVZiU0RsNzFONnJn?oc=5,2026-04-29 22:36:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Motorola News,Color. Design. Innovation. Introducing our new era of expression and possibilities. - Motorola News,,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPRFNQX2xGdm5DeDJsUXpSZjRBb0lQMWFkSGFVU0RkbkU1OEJoNXU5eUktcVkyeWRoYjFBZEhDeEQxSEZ4TDJ1S3dNMkpWOGM3UEMzaVY5cDZReG5BZVJmbHpqQm1JNVo3c3hpZ1JKSm85V2tYbmswc1VmMnBBLTlGSTZvRUVFZW5laFRjczVSbGxnY0huMldkV0pOTkN1b29OS0dtYU8yS3o?oc=5,2026-04-29 22:18:53,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Nature,Spatial atlas of diabetic kidney disease reveals a B cell-rich subgroup - Nature,,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBlMTRTTk14Nk5CTkhQUWszeGk0UFBqSnpWX2dCeXdodFJhT09rUmZJNTFFaC0wc0NOS0lMbklsSDliTm14RU5lZ0ZCUXNrTmthNVNyMzFOOHdXN0NSejJv?oc=5,2026-04-29 22:15:05,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Nature,GLP-1R–GIPR–PPARα/γ/δ quintuple agonism corrects obesity and diabetes in mice - Nature,,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBIVGVUTzBDWktOdnU2a3ZwLWIxbVYtUUozb3pRcmJoR3FzeUFlVm5MUl9kYXNPQ1U2OF9EWEh0QUxpa2RIVnNPQmQ5ZmhiT2YyNUExem1RVk1ZS1A4TFRB?oc=5,2026-04-29 22:07:30,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,NPR,The Austrian nuns who fled their care home are now in Rome and visited the Vatican - NPR,,https://news.google.com/rss/articles/CBMid0FVX3lxTFA2SXQ4dVh0bUdkRm1JQjJHMlBibW1LODNEanY1Z1FPYTQxdXQ5cThJS251blBJck9MSkhXTzRaUEdyU1d3dDJYLTJFUkFkdDFxOWNPMmxiT2hLa0RVc3duaGl3YW1iVnV1dmhaLXZoc2pYUkpVTVZn?oc=5,2026-04-29 21:48:17,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,CBS News,"Secret Service officer shot at White House Correspondents' Dinner was not hit by friendly fire, sources say - CBS News",,https://news.google.com/rss/articles/CBMirgFBVV95cUxON29pUkdZQ193TG5ReHFrTGtreUFvUjBzUVdKY0M1cEFWY05MOHF3MjZnbnV6ZTJVWUFuV04tTTMyZUZJdmMzaUxPUGRNakQ5Ri15YUNpbVM4akxBaHp3R1UxRVdSX2hwbWxLOS1xN01sSDBlRUhTZS1LdGZNUGJ3ajFMZU9LcEw3ZWpxNHZiNjV0TDlnMDFYbXMzRW9HRDNreEhIajlya2NKVDUzVUHSAbMBQVVfeXFMTTFhQ2dpbzJ2SE5PcWpGT005c0FEVFlnMHhtZ01rQWhmelJEOVp1cWVraHpPMU9jMldmOUhFdm9Cd0tSRXhhU2JuZUZodGxJV0xzUFpQbk82dU9TVzRNU01DQ2YzVUx1MDZweEFGWGptdzlDRmkzM2Y2T282VmY3OW9ldGdNcmlFMjluVHZFdGxJVEp4WFo4Q19LRXgtZ1NXSXRlaTRFWlNHZ2ctdXAydV9UVzA?oc=5,2026-04-29 21:47:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
